id,id_tipo_rec_mm,id_usuario,uri,id_perf_busq
1,2,1,https://firebasestorage.googleapis.com/v0/b/roomate-5fa42.appspot.com/o/photos%2Fbbarritt3%40mozilla.org%2Fphotos_rent%2Fpexels-vecislavas-popa-1571460.jpg?alt=media&token=80213708-41d6-4969-b933-6b04464f0e25,1
2,2,2,https://firebasestorage.googleapis.com/v0/b/roomate-5fa42.appspot.com/o/photos%2Fcnewcomen0%40quantcast.com%2Fphotos_rent%2Fpexels-chait-goli-1918291.jpg?alt=media&token=51d2f3a1-5c14-4437-b7dd-1d415fafc9d7,2
3,2,3,https://firebasestorage.googleapis.com/v0/b/roomate-5fa42.appspot.com/o/photos%2Fdvassman2%40indiatimes.com%2Fphotos_rent%2Fpexels-vecislavas-popa-1668860.jpg?alt=media&token=11d5251f-d5fe-4f67-8c60-f56a10686222,3
4,2,4,https://firebasestorage.googleapis.com/v0/b/roomate-5fa42.appspot.com/o/photos%2Fetollfree5%40vimeo.com%2Fphotos_rent%2Fpexels-pixabay-271618.jpg?alt=media&token=1356aba3-27f9-46e8-a1d6-6b8428e5971c,4
5,2,5,https://firebasestorage.googleapis.com/v0/b/roomate-5fa42.appspot.com/o/photos%2Fgdennant8%40ihg.com%2Fphotos_rent%2Fpexels-pixabay-276554.jpg?alt=media&token=283908ba-6ffe-4585-b41f-f7182467c35f,5
6,2,6,https://firebasestorage.googleapis.com/v0/b/roomate-5fa42.appspot.com/o/photos%2Fhshavel7%40salon.com%2Fphotos_rent%2Fpexels-sharath-g-2251247.jpg?alt=media&token=b31df970-caaf-423b-8ae0-9ed2586b8480,6
7,2,7,https://firebasestorage.googleapis.com/v0/b/roomate-5fa42.appspot.com/o/photos%2Fjskune1%40sogou.com%2Fphotos_rent%2Fpexels-pixabay-259580.jpg?alt=media&token=28bb436c-d289-4dd9-bd7a-b73e59610561,7
8,2,8,https://firebasestorage.googleapis.com/v0/b/roomate-5fa42.appspot.com/o/photos%2Fjwackett4%40cam.ac.uk%2Fphotos_rent%2Fpexels-terje-sollie-312029.jpg?alt=media&token=b6c2ee4b-1b9d-4c80-8361-b9aa5aef7f72,8
9,2,9,https://firebasestorage.googleapis.com/v0/b/roomate-5fa42.appspot.com/o/photos%2Flfeatherstonhalgh9%40webs.com%2Fphotos_rent%2Fpexels-vecislavas-popa-1571463.jpg?alt=media&token=d1bf0cfc-e0eb-4446-a6f2-c8951964fa54,9
10,2,10,https://firebasestorage.googleapis.com/v0/b/roomate-5fa42.appspot.com/o/photos%2Fspickerin6%40gizmodo.com%2Fphotos_rent%2Fpexels-curtis-adams-3935316.jpg?alt=media&token=90154c90-a0e0-4e17-a4ab-e2fcedc1ab07,10
11,2,11,https://firebasestorage.googleapis.com/v0/b/roomate-5fa42.appspot.com/o/photos%2Fcransteada%40gov.uk%2Fphotos_rent%2Fpexels-christa-grover-2121120.jpg?alt=media&token=38f29df1-0b7a-400c-ae0d-fbdc499e33af,11
12,2,12,https://firebasestorage.googleapis.com/v0/b/roomate-5fa42.appspot.com/o/photos%2Fsmellowsb%40google.co.jp%2Fphotos_rent%2Fpexels-christa-grover-2121121.jpg?alt=media&token=bd74d6e7-e7c1-4e38-9556-d5141910e203,12
13,2,13,https://firebasestorage.googleapis.com/v0/b/roomate-5fa42.appspot.com/o/photos%2Fegouldthorpec%40tinyurl.com%2Fphotos_rent%2Fpexels-pixabay-209315.jpg?alt=media&token=0ea78e61-7ab5-406b-9bfa-68371efc97ee,13
14,2,14,https://firebasestorage.googleapis.com/v0/b/roomate-5fa42.appspot.com/o/photos%2Fjshasnand%40myspace.com%2Fphotos_rent%2Fpexels-pixabay-53603.jpg?alt=media&token=aee2013a-e9f2-410d-be1e-65d70725b33c,14
15,2,15,https://firebasestorage.googleapis.com/v0/b/roomate-5fa42.appspot.com/o/photos%2Fsdeveye%40omniture.com%2Fphotos_rent%2Fpexels-pixabay-271795.jpg?alt=media&token=bf2d661f-fa62-4066-8e39-df3e6fca2dfc,15
16,2,16,https://firebasestorage.googleapis.com/v0/b/roomate-5fa42.appspot.com/o/photos%2Ffsafontf%40webs.com%2Fphotos_rent%2Fpexels-max-vakhtbovych-6077368.jpg?alt=media&token=2511e67a-3a63-4a5c-8472-63aa8b9ca280,16
17,2,17,https://firebasestorage.googleapis.com/v0/b/roomate-5fa42.appspot.com/o/photos%2Fbdaviotg%40icq.com%2Fphotos_rent%2Fpexels-rachel-claire-4846101.jpg?alt=media&token=38975e7b-43e7-4f53-bf8b-4a909fb68222,17
18,2,18,https://firebasestorage.googleapis.com/v0/b/roomate-5fa42.appspot.com/o/photos%2Fematkinh%40globo.com%2Fphotos_rent%2Fpexels-pixabay-269262.jpg?alt=media&token=9eff1885-3f93-4b58-a1b6-e597229452b6,18
19,2,19,https://firebasestorage.googleapis.com/v0/b/roomate-5fa42.appspot.com/o/photos%2Ftburlingi%40usda.gov%2Fphotos_rent%2Fpexels-max-vakhtbovych-7031723.jpg?alt=media&token=04c4f38c-7068-416b-87ef-3d5a22171c08,19
20,2,20,https://firebasestorage.googleapis.com/v0/b/roomate-5fa42.appspot.com/o/photos%2Ftfairhallj%40sciencedirect.com%2Fphotos_rent%2Fpexels-alina-vilchenko-1173648.jpg?alt=media&token=87cf06ea-68b4-4144-a1c8-579bd6155a4d,20
